Initial conditions: Te0=7.0, Ti0=7.0, rho0=1000.0, Rh0=15.0
t (ps), Te (keV), Ti (keV), rho (g/cm^3), Rh (um)
0.0, 7.0, 7.0, 1000.0, 15.0
0.05005005005005005, 7.008207365273667, 7.008534916576604, 993.6891653640971, 15.031698591039575
0.1001001001001001, 7.016792649020512, 7.017071206005283, 987.4472168816621, 15.063316325721834
0.15015015015015015, 7.025652069026882, 7.025710529791627, 981.2729929315317, 15.094854272466392
0.2002002002002002, 7.03474264815201, 7.034499713397215, 975.1653576671299, 15.126313486691839
0.2502502502502503, 7.0440480280188424, 7.043461696788645, 969.1231992995353, 15.157695015716456
0.3003003003003003, 7.053563588487997, 7.052609008162467, 963.1454293477319, 15.188999900977622
0.3503503503503504, 7.063289859258631, 7.061949724698982, 957.2309813188249, 15.220229179308179
0.4004004004004004, 7.073229812760445, 7.071489930214996, 951.3788103813098, 15.251383883530327
0.45045045045045046, 7.083387556369675, 7.08123490567062, 945.5878928743964, 15.28246504291573
0.5005005005005005, 7.093767747012508, 7.091189661743184, 939.8572253932101, 15.313473683616193
0.5505505505505506, 7.1043753932667, 7.10135912966008, 934.18582461364, 15.34441082893479
0.6006006006006006, 7.115215726191652, 7.1117482867156285, 928.5727267937152, 15.375277499651386
0.6506506506506506, 7.1262941624784375, 7.122362189045772, 923.0169865793854, 15.406074714403234
0.7007007007007008, 7.137616287873599, 7.1332060053215764, 917.5176772910071, 15.436803489891783
0.7507507507507507, 7.149187863268388, 7.144285051548018, 912.0738922421715, 15.467464841107514
0.8008008008008008, 7.161014779388569, 7.155604754238617, 906.6847388861561, 15.498059782039372
0.8508508508508509, 7.173103108243557, 7.167170688031472, 901.3493426917413, 15.52858932565695
0.9009009009009009, 7.185459071283722, 7.1789885512429805, 896.0668439203992, 15.559054484150819
0.950950950950951, 7.198089129990666, 7.191064246687387, 890.8364044417841, 15.589456269294258
1.001001001001001, 7.210999850802812, 7.203403774227661, 885.6571951745053, 15.619795692925758
1.0510510510510511, 7.224198034098469, 7.216013350946923, 880.5284071172397, 15.650073767072357
1.1011011011011012, 7.237690622590472, 7.228899321932735, 875.4492413054195, 15.68029150448523
1.1511511511511512, 7.251484816803303, 7.242068266608555, 870.4189188651192, 15.710449918673312
1.2012012012012012, 7.2655880282073255, 7.255526946997693, 865.4366762882564, 15.740550024013238
1.2512512512512513, 7.280007868565941, 7.2692822666979255, 860.5017574932762, 15.770592837597938
1.3013013013013013, 7.294752217298516, 7.283341366659691, 855.6134265471056, 15.800579377471731
1.3513513513513515, 7.309829179152831, 7.297711567071101, 850.7709563866008, 15.830510664742828
1.4014014014014016, 7.32524709618772, 7.312400383298875, 845.9736328233777, 15.86038772273725
1.4514514514514514, 7.341014550280081, 7.32741558348295, 841.2207552178768, 15.890211577702646
1.5015015015015014, 7.357140357115118, 7.342765226637019, 836.5116344960295, 15.919983259932332
1.5515515515515517, 7.373633606168888, 7.358457562411683, 831.8455944564726, 15.94970380235893
1.6016016016016017, 7.390503849327032, 7.374500986482856, 827.2219695701439, 15.979374243099246
1.6516516516516517, 7.407760714673566, 7.390904337696645, 822.6401058510567, 16.00899562453054
1.7017017017017018, 7.42541428117679, 7.40767661089457, 818.0993604929645, 16.03856899402454
1.751751751751752, 7.44347490548359, 7.424827117779746, 813.5991012650194, 16.06809540426451
1.8018018018018018, 7.4619533030811045, 7.44236543697645, 809.1387062193517, 16.09757591363049
1.851851851851852, 7.4808605387341585, 7.460301468931495, 804.717563801557, 16.1270115868538
1.901901901901902, 7.500208069246453, 7.478645451080043, 800.3350729267823, 16.15640349578302
1.951951951951952, 7.52000768587075, 7.497407900449335, 795.9906407218693, 16.18575271839631
2.002002002002002, 7.540271613219962, 7.5165996991298245, 791.6836845327317, 16.21506034074364
2.052052052052052, 7.5610125071382654, 7.536232098184347, 787.4136311042648, 16.244327457203532
2.1021021021021022, 7.582243434159453, 7.556316700850302, 783.179915527707, 16.273555170232676
2.1521521521521523, 7.603977922435566, 7.576865505805285, 778.9819814541513, 16.302744591522444
2.2022022022022023, 7.6262299883825015, 7.597890929907584, 774.8192818756387, 16.33189684247339
2.2522522522522523, 7.649014155184899, 7.619405799252764, 770.6912775899015, 16.36101305465826
2.3023023023023024, 7.672345496386068, 7.641423381083312, 766.5974374538683, 16.39009437074259
2.3523523523523524, 7.6962396464429785, 7.663957427350392, 762.5372391213288, 16.419141944992752
2.4024024024024024, 7.72071274237525, 7.687022133867173, 758.5101657841599, 16.44815694265979
2.452452452452453, 7.745781514370979, 7.7106322002543335, 754.5157091396034, 16.477140541284314
2.5025025025025025, 7.771463347727379, 7.734802904637016, 750.5533676476693, 16.506093932684752
2.552552552552553, 7.797776229336291, 7.7595500279068075, 746.6226471401894, 16.53501832123763
2.6026026026026026, 7.824738926945664, 7.784889936786236, 742.7230597828776, 16.563914927138235
2.6526526526526526, 7.852370872344744, 7.810839544369137, 738.8541246845888, 16.592784984472647
2.702702702702703, 7.880692316949914, 7.8374164211524375, 735.0153669823102, 16.62162974442915
2.7527527527527527, 7.909724263941431, 7.86463874750599, 731.2063182324844, 16.650450473916248
2.802802802802803, 7.939488532406443, 7.892525467590946, 727.426515752712, 16.679248458211056
2.852852852852853, 7.970007743121525, 7.921096231496345, 723.6755028386036, 16.708025000072578
2.9029029029029028, 8.001305471148488, 7.950371459994821, 719.9528282343928, 16.73678142211041
2.9529529529529532, 8.03340621429169, 7.980372339610664, 716.2580462131779, 16.76551906640513
3.003003003003003, 8.066335544706122, 8.01112085355779, 712.5907162159739, 16.794239296356448
