Initial conditions: Te0=4.8, Ti0=7.2, rho0=1000.0, Rh0=10000.0
t (ps), Te (keV), Ti (keV), rho (g/cm^3), Rh (um)
0.0, 4.8, 7.2, 1000.0, 10000.0
0.1001001001001001, 5.898270958985953, 6.168884856502132, 999.9872420446256, 10000.05887853308
0.2002002002002002, 6.015946746984272, 6.067166091447428, 999.9742834239355, 10000.11783387943
0.3003003003003003, 6.03613041497489, 6.058059878043389, 999.9612948798637, 10000.176819744054
0.4004004004004004, 6.043614647703172, 6.061427177216828, 999.948294118538, 10000.235831694159
0.5005005005005005, 6.0495863424358545, 6.06671901426049, 999.9352831017075, 10000.294870176911
0.6006006006006006, 6.055585516174323, 6.072505313622921, 999.9222616830347, 10000.353936348587
0.7007007007007008, 6.061836090551889, 6.078601055204049, 999.9092294073671, 10000.413031517613
0.8008008008008008, 6.068381817516955, 6.084993039675219, 999.8961857538545, 10000.472157075237
0.9009009009009009, 6.075242056706696, 6.0916924226481965, 999.8831301756873, 10000.531314469275
1.001001001001001, 6.082433989061635, 6.098714565598969, 999.870062089917, 10000.590505242086
1.1011011011011012, 6.089974897610067, 6.106076348391078, 999.8569808885987, 10000.649731002504
1.2012012012012012, 6.097883307751825, 6.113795470626853, 999.8438859326992, 10000.708993442526
1.3013013013013013, 6.1061788324688395, 6.121890791061863, 999.8307765495675, 10000.768294344009
1.4014014014014016, 6.114882218413548, 6.130382353296302, 999.8176520324034, 10000.827635580205
1.5015015015015014, 6.124015515363398, 6.139291430841696, 999.8045116376999, 10000.887019122692
1.6016016016016017, 6.133602204627098, 6.148640629136757, 999.7913545825386, 10000.946447048758
1.7017017017017018, 6.143667229958242, 6.158453943626311, 999.7781800439132, 10001.00592154327
1.8018018018018018, 6.154237121134896, 6.168756904273865, 999.7649871556664, 10001.065444907043
1.901901901901902, 6.165340173484438, 6.179576701612378, 999.7517750050442, 10001.125019566194
2.002002002002002, 6.1770065138369, 6.190942227352101, 999.7385426321615, 10001.184648073755
2.1021021021021022, 6.189268432278551, 6.202884416318223, 999.7252890217414, 10001.244333132021
2.2022022022022023, 6.2021604184314265, 6.215436223513585, 999.7120131042287, 10001.304077589772
2.3023023023023024, 6.215719375978455, 6.228632849641974, 999.6987137511504, 10001.363884454962
2.4024024024024024, 6.229984422588923, 6.242512189305763, 999.6853897727829, 10001.42375690102
2.5025025025025025, 6.244998042017685, 6.257114422918754, 999.672039911272, 10001.483698286154
2.6026026026026026, 6.260805573169572, 6.272482812759494, 999.6586628377602, 10001.543712160963
2.702702702702703, 6.277455731343455, 6.288663772154752, 999.6452571472906, 10001.603802282683
2.802802802802803, 6.29500093658082, 6.305707148454837, 999.631821353499, 10001.663972629887
2.9029029029029028, 6.313497643559975, 6.3236665574364075, 999.6183538829713, 10001.724227418177
3.003003003003003, 6.333006776854993, 6.342599749825612, 999.6048530685138, 10001.784571118878
3.1031031031031033, 6.353594111343644, 6.3625689930240785, 999.5913171432868, 10001.845008475444
3.2032032032032034, 6.375330778369214, 6.383641570647028, 999.5777442327262, 10001.905544525986
3.3033033033033035, 6.398293894052979, 6.405890205584114, 999.5641323466605, 10001.966184625366
3.4034034034034035, 6.422567160174217, 6.429393649257734, 999.5504793704896, 10002.02693446995
3.503503503503504, 6.448241408311176, 6.454237495178525, 999.5367830553027, 10002.087800125257
3.6036036036036037, 6.475415767142149, 6.480514573307731, 999.5230410072337, 10002.148788056142
3.703703703703704, 6.504198326758641, 6.508325993754658, 999.5092506757252, 10002.209905159765
3.803803803803804, 6.534707035574142, 6.537782285448512, 999.4954093399147, 10002.27115880397
3.903903903903904, 6.567071433487632, 6.569003872465766, 999.4815140952632, 10002.332556865558
4.004004004004004, 6.6014335088043845, 6.602122831646986, 999.4675618368415, 10002.39410777741
4.104104104104104, 6.637949475294513, 6.637283999471085, 999.4535492425982, 10002.455820576335
4.2042042042042045, 6.6767915978435814, 6.6746467159758565, 999.4394727524192, 10002.517704962702
4.3043043043043046, 6.718150682691816, 6.714386653930128, 999.4253285432744, 10002.579771371406
4.404404404404405, 6.762237763099758, 6.756698053995287, 999.411112509715, 10002.642031028037
4.504504504504505, 6.809287547143786, 6.801796061756373, 999.3968202328231, 10002.704496038024
4.604604604604605, 6.8595621863958085, 6.849919295784053, 999.3824469489784, 10002.767179476916
4.704704704704705, 6.913353899241439, 6.901334460417214, 999.3679875141277, 10002.830095492913
4.804804804804805, 6.9709915428241205, 6.956338751485476, 999.3534363630637, 10002.89325942579
4.904904904904906, 7.032844487587518, 7.015265878041416, 999.3387874648855, 10002.95668793562
5.005005005005005, 7.099330366531104, 7.078490907107145, 999.3240342692836, 10003.020399159754
5.105105105105106, 7.1709228609841835, 7.146437361833924, 999.3091696447563, 10003.084412893084
5.205205205205205, 7.248161163133235, 7.2195849983449545, 999.2941858116762, 10003.148750784592
5.305305305305305, 7.331661818613348, 7.298479534302726, 999.2790742607187, 10003.213436577205
5.405405405405406, 7.422132942897356, 7.3837443122353745, 999.2638256598934, 10003.278496382234
5.505505505505505, 7.52039178964234, 7.476094313339394, 999.2484297464221, 10003.343958999769
5.605605605605606, 7.627386100672716, 7.576353773563184, 999.2328751993216, 10003.40985629739
5.705705705705706, 7.744221034817123, 7.685477273187462, 999.2171494905036, 10003.476223654798
5.8058058058058055, 7.8721923983604425, 7.804576382117511, 999.2012387082067, 10003.543100492945
5.9059059059059065, 8.012828690563477, 7.934952693649269, 999.1851273473425, 10003.610530905204
6.006006006006006, 8.167944162882062, 8.078139284129199, 999.1687980599547, 10003.678564412066
